creationTime,productSize,productColor,content
2019-07-08 19:20:28,全网通（8GB 128GB）,冰岛白,真的是个特别的好看，也特别的好用，好喜欢，关键也很便宜，内存也很大
2019-06-23 00:32:38,全网通（8GB 128GB）,幻影蓝,这手机真的给了我温暖，我都觉的可以烤鸡蛋吃了。这么热会爆炸？
2019-08-04 20:54:26,全网通（8GB 128GB）,幻夜黑,说实话，荣耀和华为都挺辣鸡的，本来看着形势还是想挺一下，买了用了之后真是大大的失望
2019-08-17 07:38:09,全网通（8GB 128GB）,蓝水翡翠,买来10天打电话就开始出现杂音，第一次买这个品牌，本来挺期待的，现在呵呵。
2019-06-02 20:11:16,全网通（8GB 128GB）,幻夜黑,给差评是因为要提醒各位，买的时候连耳机一起买，荣耀里有专属耳机卖。我忘记了  单买要加运费。手机还不错。如果各位有耐心可以等pro      （耳机价格99减去优惠券20）
2019-08-19 23:13:21,全网通（8GB 128GB）,蓝水翡翠,刚买的手机，就卡，玩个吃鸡游戏就不顺畅，卡卡卡，就那样，大家看到买吧
2019-06-07 10:38:29,全网通（8GB 128GB）,冰岛白,唉，自己体会吧
2019-08-04 14:17:53,全网通（8GB 128GB）,幻影蓝,手机不错，外屏已破，希望新款的可以考虑把屏幕设计的安全点，感觉刚碰到一点，整个屏都不行了。
2019-06-02 00:02:06,全网通（8GB 128GB）,冰岛白,包装都给我摔成这样子了，还好手机没有问题，京东物流就这素质了哦，我也是醉了。手机整体效果还是可以，毕竟价格还是摆在哪里的。
2019-06-28 05:58:53,全网通（8GB 128GB）,幻夜黑,机子还可以吧，续航特别好，京东快递速度很快，不过机子流畅度一般，侧面指纹老误解锁。
2019-06-01 21:57:49,全网通（8GB 128GB）,幻影蓝,我的怎么有重影啊，我的荣耀6x都没有问题。可是这播放视频就出现重影啊&hellip;&hellip;
2019-06-04 14:59:27,全网通（8GB 128GB）,冰岛白,在网上看视频看到这个手机有红外的，谁知道下单了，自己上手了才知道哦，哪手机上的那个红外口子，只是个装饰
2019-08-19 21:07:40,全网通（8GB 128GB）,冰岛白,手机拿到两天用着是不是卡机！在京东商城联系客服没人理！后来快到第七天了！直接申请退款！京东客服才给打电话！后来手机送点快递！快递员和客服说明手机情况！说屏幕有划痕退不了！让我给客服协商！我给客服打电话说那是手机膜有划痕！不是屏幕！后来客服说可以！她给备注一下！我说要不要我联系快递员！她说不用！她们会联系！后来一直就没有回音！从12号一直到现在19号！&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;就是不给退
2019-07-01 12:33:30,全网通（8GB 128GB）,幻夜黑,"为什么一星呢？因为当时购买商品，是白条六期免息。现在还款还有一百多的服务费。已经投诉
另外手机不错，值得购买，物流也很快。但是这个六期免息的做法很让人气愤。"
2019-06-05 17:32:20,全网通（8GB 128GB）,幻夜黑,说好的送耳机，并没有，这是诚信问题。送货也很慢，次日下午才到。手机目前还不错。过段时间用用追评。
2019-06-10 18:52:15,全网通（8GB 128GB）,幻影蓝,手感不错，颜色也好看，手机反应也比较快，就是耗电比较快，没怎么玩只能撑一天，手机不能直接连耳机，问客服也是答非所问的，后来发现听筒声音特别小，客户也是东扯西扯的，一直在各种找借口，一言难尽
2019-06-18 20:18:44,全网通（8GB 128GB）,幻影蓝,手机很好用，反应速度很快，相机也很好用，就是厚了点。但是我很不爽的就是16号买的，说保价，我就提前买了，结果今天就送充电宝了，本来还是对他印象很好的，现在就呵呵了
2019-06-04 08:41:34,全网通（8GB 128GB）,冰岛白,手机看起来还行，京东搞活动前1000名赠耳机，我提交订单时还有耳机，可是耳机呢，京东服务。。。。。大家有人收到耳机吗？
2019-06-04 17:25:54,全网通（8GB 128GB）,幻夜黑,反应快，屏幕好看，完美，关键打电话信号增强很多，拍照确实好用，差评理由，就不爽荣耀客服态度，0点抢购不送耳机，非要拒收，重新下单，折腾一天。
